domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.n-tv.de,0.09114373517088079,0.20391711566584989,0.029148422630930624,0.08686305232360138,2201.0
www.zeit.de,0.008420805915233849,0.13361374584310345,0.021311115828203508,0.07431989102807242,2019.0
www.faz.net,0.0028502789678500028,0.2269288806188142,0.05117765883269766,0.1124211562298873,1161.0
www.welt.de,0.028217314443949988,0.22349930153263337,0.06644023306795896,0.10889644327600141,963.0
www.stern.de,0.028255342751064005,0.24923929894852537,0.06713367226814657,0.15171262009152067,818.0
www.focus.de,0.01828502210979205,0.2503405260660536,0.0870351687337884,0.13864022009076116,652.0
www.tagesschau.de,0.019651556212531816,0.24218708652519316,0.05822195239268406,0.13350099916252944,615.0
www.morgenpost.de,0.022886317854113658,0.18080458978371194,0.06776626681206838,0.1055785052260915,524.0
www.spiegel.de,0.04220488018925525,0.19325993525774268,0.09339995421245434,0.12387975970280045,520.0
www.handelsblatt.com,0.03711157698579085,0.21614885310632379,0.04868323849455924,0.10486016147012998,477.0
www.sueddeutsche.de,0.04904383975812552,0.2639484554100832,0.08672902494331063,0.16023932590449166,420.0
www.tagesspiegel.de,0.019124657088942787,0.23092615132933894,0.06271715057429342,0.1217128473937429,273.0
www.wiwo.de,0.030559218559218528,0.1968102938397749,0.07014194139194133,0.10147345882530066,260.0
taz.de,-0.001924119241192407,0.2303522109484499,0.04948122338366241,0.10694957674592469,205.0
www.bild.de,-0.032867357001972394,0.2536209962029915,0.054814736545505796,0.13619813935440073,169.0
www.dw.com,0.012957775702873738,0.2006890740111402,0.04263045959124391,0.08905499589069801,153.0
www.nzz.ch,0.0020136678994294934,0.18714564498663114,0.04884000840954485,0.09359118119346933,151.0
orf.at,-0.02605742296918768,0.22113378179834114,0.022829131652661063,0.0794539256453933,119.0
www.golem.de,0.07192611489040059,0.10125007285415466,0.03074263038548753,0.06175709600823234,105.0
www.diepresse.com,0.0375575396825397,0.2978747751946506,0.04121428571428571,0.11334827519419143,100.0
consent.google.com,-0.1540901360544218,0.4266065264264859,0.015731292517006803,0.07167488417945343,98.0
www.jungewelt.de,-0.019233176838810644,0.2596620398178635,0.02738654147104851,0.0765511203340178,71.0
www.heise.de,0.07444822373393802,0.20356014927923083,0.05529100529100529,0.1031243723484928,63.0
www.telepolis.de,-0.050077996715927726,0.22893453308622896,0.05582922824302135,0.1250811666413358,58.0
stadt-bremerhaven.de,0.10837108013937279,0.28405977232091373,0.07195121951219513,0.19077470075946784,41.0
www.freitag.de,0.026302721088435368,0.21988724219189962,0.055680272108843534,0.10703000815308096,35.0
www.kicker.de,0.09801313628899834,0.2686514867610631,0.03069239189928845,0.08825636654902481,29.0
www.brigitte.de,0.14781498015873015,0.20593649371994888,0.04836309523809523,0.1442554975995575,24.0
www.basicthinking.de,0.1781977513227513,0.2781739110531165,0.09692460317460316,0.14052546821022985,24.0
www.t-online.de,-0.11373590982286634,0.18472680561197236,0.020531400966183576,0.04730191678647103,23.0
www.ndr.de,-0.11303030303030304,0.2527440077025238,0.0,0.0,22.0
web.de,0.04579365079365078,0.3042694433884122,0.027777777777777773,0.07136240321480627,21.0
